word,meaning,partOfSpeech,phonetic
"a","一(个)；每一(个)；(同类事物中)任一个","art.","/ei/"
"abandon","离弃，丢弃；遗弃，抛弃；放弃","vt.","/ə'bændən/"
"abdomen","腹，下腹(胸部到腿部的部分)","n.","/æb'dəumen/"
"abatement","减(免)税，打折扣，冲销","n.","/ə'beitmənt/"
"abide","(abode，abided)(by)遵守；坚持；vt.忍受，容忍","vi.","/ə'baid/"
"ability","能力；本领；才能，才干；专门技能，天资","n.","/ə'biliti/"
"able","有(能力、时间、知识等)做某事，有本事的","a.","/'eibl/"
"abnormal","反常的，不正常的，不规则的","a.","/æb'nɔ:məl/"
"aboard","在船(飞机、车)上；ad.上船(飞机、车)","ad.&prep.","/ə'bɔ:d/"
"abolish","废除(法律、习惯等)；取消","vt.","/ə'bɔliʃ/"
"abound","大量存在；(~in，~with)充满，富于","vi.","/ə'baund/"
"about","在周围；大约 prep.关于；在周围 a.准备","ad.","/ə'baut/"
"above","上述的 ad.在上面,在前文  prep.在..之上，高于","a.","/ə'bʌv/"
"abroad","到国外，在国外；在传播，在流传","ad.","/ə'brɔ:d/"
"abrupt","突然的，出其不意的；(行为等)粗鲁无礼的","a.","/ə'brʌpt/"
"absence","缺乏，不存在；缺席，不在场；缺席的时间","n.","/'æbsəns/"
"absent","缺席的；缺乏的,不存在的;心不在焉的","a.","/'æbsənt, æb'sent/"
"absolute","绝对的，完全的；确实的，肯定的","a.","/'æbsəlju:t/"
"absorb","吸收(水、光、蒸汽等）；使全神贯注；吞并/兼并","vt.","/əb'sɔ:b, -'zɔ:b/"
"abstract","抽象的 n.摘要,文摘,梗概vt.提取；摘录要点","a.","/'æbstrækt/"
"absurd","荒谬的，荒诞的，荒唐可笑的；不合理的","a.","/əb'sə:d/"
"abundance","丰富，充裕，大量","n.","/ə'bʌndəns/"
"abundant","大量(充足)的；(in)丰富(富裕)的","a.","/ə'bʌndənt/"
"abuse","滥用；虐待，辱骂；诋毁 n.滥用；恶习；弊端","vt.","/ə'bju:z, ə'bju:s/"
"academic","学院的，学术性的；大学的；理论的","a.","/,ækə'demik/"
"academy","(高等)专科院校；学术社团，协会，研究院","n.","/ə'kædəmi/"
"accelerate","使加速，使增速，促进 vi.加快，增加","v.","/ək'seləreit/"
"accept","接受，领受；认可，同意 vi.同意，认可","vt.","/ək'sept/"
"acceptable","可接受的, 合意的","adj.","/ək'septəbl/"
"acceptance","接受，接收，验收，接纳；承认，认可","n.","/ək'septəns/"
"access","进入；接入；到达；享用权；入口 vi.存取","n.","/'ækses/"
"accessory","""""n.附件,附属品;(为全套衣服增加美感的)服饰""""","","/ək'sesəri/"
"accident","""""n.意外遭遇,事故；意外(因素)""""","","/'æksidənt/"
"acclaim","向…欢呼，公认 n.欢呼，喝彩，称赞","v.","/ə'kleim/"
"accommodate","向…提供住处；对...予以照顾性考虑","vt.","/ə'kɔmədeit/"
"accompany","陪伴，陪同；伴随，和...一起发生，伴奏","v.","/ə'kʌmpəni/"
"accord","给予(欢迎、称颂等) vi.&n.符合，一致","vt.","/ə'kɔ:d/"
"accordance","一致，和谐，符合","n.","/ə'kɔ:dəns/"
"accordingly","相应地，照着办，按照；于是，因此","ad.","/ə'kɔ:diŋli/"
"account","叙述，说明；账目，账户 vi.说明，解释","a.","/ə'kaunt/"
"accountant","会计人员，会计师","n.","/ə'kauntənt/"
"accumulate","堆积，积累，积聚vi.累积，聚积","vt.","/ə'kju:mjuleit/"
"accuracy","准确（性）；精确；准确度","n.","/'ækjurəsi/"
"accurate","正确无误的；准确的，精确的","a.","/'ækjurət/"
"accuse","控告，指责 vi.指控，指责","vt.","/ə'kju:z/"
"accustomed","惯常的；习惯的，适应的(一般作表语)","a.","/ə'kʌstəmd/"
"ache","痛；哀怜 n.(指连续)疼痛、酸痛","vi.","/eik/"
"achieve","实现，完成；达到，得到vi.达到预期目的","vt.","/ə'tʃi:v/"
"acid","""""n.酸,酸性物质a.酸的,酸味的；尖刻的""""","","/'æsid/"
"acknowledge","承认；接受；告知(信件等的)收到；答谢","vt.","/ək'nɔlidʒ/"
"acquaint","(with)使认识，使了解，使熟悉","vt.","/ə'kweint/"
"acquaintance","认识，相识，了解；相识的人，熟人","n.","/ə'kweintəns/"
"acquire","获得；学到(知识等)；养成(习惯)","v.","/ə'kwaiə/"
"acre","英亩；田地；地产","n.","/'eikə/"
"acrobat","特技演员，杂技演员","n.","/'ækrəbæt/"
"act","表演；举动；起作用 n.行为，法令；一幕","v.","/ækt/"
"action","行动，动作；作用；运转；行为；战斗","n.","/'ækʃən/"
"activate","启动，激活；驱动，驱使；使开始起作用","vt.","/'æktiveit/"
"active","活跃的，敏捷的，积极的；在活动中的","adj.","/'æktiv/"
"activity","活动；活力；能动性；","n.","/æk'tivəti/"
"actor","男演员；演员，行动者","n.","/'æktə/"
"actress","女演员","n.","/'æktris/"
"actual","实际的；现实的，真实的，目前的","a.","/'æktʃuəl/"
"acute","剧烈的；敏锐的；成锐角的；尖的，高音的","a.","/ə'kju:t/"
"adapt","使适应，使适合；改编；改写 vi.适应","vt.","/ə'dæpt/"
"add","加；增加(进)；进一步说/写 vi.(to)增添","vt.","/æd/"
"addict","使沉溺；使上瘾 n.沉溺于不良嗜好的人","v.","/ə'dikt/"
"addition","加，加法；附加部分，增加(物)","n.","/ə'diʃən/"
"additional","额外的，附加的，另外的","a.","/ə'diʃənəl/"
"address","住址；致词 v.向...致词；在信封上写姓名","n.","/ə'dres/"
"adequate","充足的，足够的；适当的，胜任的","adj.","/'ædikwit/"
"adhere","(to)粘着；坚持，遵守；依附，追随","vi.","/əd'hiə/"
"adjacent","(to)(时间上)紧接着的；邻近的，毗邻的","a.","/ə'dʒeisənt/"
"adjective","形容词 a.形容词的，用作形容词的","n.","/'ædʒiktiv/"
"adjoin","临近，靠近；贴近，毗连","v.","/ə'dʒɔin/"
"adjust","调节；整顿，调整 vi.适应(to)；使调节","vt.","/ə'dʒʌst/"
"administer","施行，实施；掌管，料理...的事务；给予","v.","/əd'ministə/"
"admire","""""vt.钦佩,赞赏,羡慕；称赞,夸奖""""","","/əd'maiə/"
"admission","允许进入；承认；入场费，入会费，入场券","n.","/əd'miʃən/"
"admit","承认，供认；准许…进入，准许...加入","vt.","/əd'mit/"
"adopt","采用，采取(态度等)；选定；收养","vt.","/ə'dɔpt/"
"adore","""""vt.崇拜,敬慕,爱慕；非常喜欢""""","","/ə'dɔ:/"
"advantage","优点，长处，有利条件；利益，好处","n.","/əd'vɑ:ntidʒ/"
"advent","(重要事件等的)到来，来临","n.","/'ædvənt/"
"adverb","副词 a.副词的","n.","/'ædvə:b/"
"advertise","公告，公布；为...做广告 vi.登广告","vt.","/'ædvətaiz/"
"advice","劝告，忠告，(医生等的)意见","n.","/əd'vais/"
"advisable","可取的，适当的，明智的","a.","/əd'vaizəbl/"
"advise","忠告，劝告，建议；通知，告知","vt.","/əd'vaiz/"
"aerial","(在或来自)空中的，航空的 n.天线","a.","/'εəriəl/"
"aeroplane","(airplane)(英)飞机","n.","/'εərəplein/"
"aesthetic","(esthetic)美学的，艺术的；审美的","a.","/i:s'θetik/"
"affair","[pl.]事务；事情(件)；(个人的)事","n.","/ə'fεə/"
"affection","爱，喜爱；爱慕之情；感情；疾病，不适","n.","/ə'fekʃən/"
"affiliate","使隶属(或附属)于 n.附属机构，分公司","v.","/ə'filieit/"
"affirm","""""vt.断言，坚持声称；肯定；证实,确认；""""","","/ə'fə:m/"
"affluent","富裕的，富有的，丰富的，富饶的","a.","/'æfluənt/"
"afford","担负得起(损失、费用、后果等)，买得起","vt.","/ə'fɔ:d/"
"afraid","害怕的，恐惧的；犯愁的，不乐意的","adj.","/ə'freid/"
"age","年龄；时代；老年；长时间 v.(使)变老","n.","/eidʒ/"
"agency","代理(处)；代办处；[美](政府的)机关，厅","n.","/'eidʒənsi/"
"agenda","议事日程，记事册","n.","/ə'dʒendə/"
"agent","代理人；代理商；产生作用的人或事物","n.","/'eidʒənt/"
"aggravate","""""vt.加重(剧),使恶化；激怒,使恼火""""","","/'æɡrəveit/"
"aggressive","侵略的，好斗的，有进取心的，敢作敢为的","a.","/ə'ɡresiv/"
"agitate","摇动(液体)；使焦虑不安；困扰；鼓动","v.","/'ædʒiteit/"
"ago","(常和一般过去时的动词连用)以前，…前","ad.","/ə'ɡəu/"
"agony","(精神或肉体的)极大痛苦，创伤","n.","/'æɡəni/"
"agree","答应，赞同；适合，一致；商定，约定","vi.","/ə'ɡri:/"
"agreeable","符合的；一致的；欣然同意的；令人愉快的","a.","/ə'ɡri:əbl/"
"agreement","协定；协议；契约；达成协议；同意，一致","n.","/ə'ɡri:mənt/"
"agriculture","农业，农艺，农耕","n.","/'æɡrikʌltʃə/"
"ahead","在前面(头)；向(朝)前；提前","ad.","/ə'hed/"
"aid","援助，救护；助手，辅助物 vi.援助，救援","n.","/eid/"
"aim","目的；瞄准 vi.(at)目的在于 vt.把…瞄准","n.","/eim/"
"air","空气；(复数)神气 vt.(使)通风；晾干","n.","/εə/"
"aircraft","飞机，飞船，飞行器","n.","/'εəkrɑ:ft/"
"airline","(飞机)航线  a.(飞机)航线的","n.","/'εəlain/"
"airport","机场，航空站，航空港","n.","/'εəpɔ:t/"
"aisle","(教堂、教室、戏院等里的)过道，通道","n.","/ail/"
"alarm","惊恐；警报(器) vt.惊动，惊吓；向…报警","n.","/ə'lɑ:m/"
"album","""""n.(同一表演者的)集锦密纹唱片;集邮册,相册""""","","/'ælbəm/"
"alcohol","酒精，乙醇；含酒精的饮料","n.","/'ælkəhɔl/"
"alert","机警的，警觉的；机灵的 vt.使…警觉","a.","/ə'lə:t/"
"alien","外侨，外国人；外星人 a.外国的；相异的","n.","/'eiljən/"
"alike","同样的，相像的ad.一样地；同程度地","a.","/ə'laik/"
"alive","活着的；存在的；活跃的；(to)敏感的","a.","/ə'laiv/"
"all","全部的；非常的 ad.完全地，很 pron.全部","a.","/ɔ:l/"
"allege","断言，宣称；指控","v.","/ə'ledʒ/"
"alleviate","减轻，缓和，缓解(痛苦等)","v.","/ə'li:vieit/"
"alliance","同盟，同盟国；结盟，联姻","n.","/ə'laiəns/"
"allocate","分配，分派；拨给；划归","v.","/'æləukeit/"
"allow","允许，准许；承认；给予；(for)考虑到","vt.","/ə'lau/"
"allowance","补贴，津贴；零用钱；减价，折扣；允许","n.","/ə'lauəns/"
"almost","几乎，差不多","adv.","/'ɔ:lməust/"
"alone","单独的，孤独的 ad.单独地，独自地；仅仅","a.","/ə'ləun/"
"along","向前；和...一起，一同 prep.沿着，顺着","ad.","/ə'lɔŋ/"
"alongside","在旁边 prep.和...在一起；在...旁边","ad.","/ə'lɔŋ'said/"
"aloud","出声地，大声地","adv.","/ə'laud/"
"alphabet","字母表；初步，入门","n.","/'ælfəbit/"
"already","已，已经，早已","ad.","/ɔ:l'redi/"
"also","而且(也)，此外(还)；同样地","ad.","/'ɔ:lsəu/"
"alter","改变，更改；改做(衣服) vi.改变，变化","vt.","/'ɔ:ltə/"
"alternate","交替的，轮流的 v.(使)交替，(使)轮流","a.","/'ɔ:ltəneit/"
"alternative","二选一；供选择的东西；取舍 a.二选一的","n.","/ɔ:l'tə:nətiv/"
"although","尽管，虽然...但是","conj.","/ɔ:l'ðəu/"
